starting time: 24.38
Read 347 files
reduced frequency method
number of words in files: 12848612
removing most frequent words
removing numbers
removing english words
removing words with a relative frequency below:  15
--- 8912.098001 seconds ---

word                    r_freq      f_freq
brekke                       21         94
brennande                    16         29
brent                        25        143
brian                        19         44
brikke                       15         23
briller                      22         52
bringa                       29         60
bringe                       78        168
brinkmann                    39        304
britane                      22        135
british                      57        178
britisk                      48        235
britiske                    111        615
britt                        15         48
bror                         92        502
broren                       39        167
brorparten                   21         50
brot                        255        705
brote                        59        120
broten                       35         65
brotet                       38        132
brotne                       34         66
brotsverk                    32        174
bru                          43        108
brudd                        18         35
bruer                        15         27
brukande                     15         34
brukar                      943       2623
brukarane                    81        374
brukarar                    146       1813
brukaren                     62        579
brukast                     326        770
brukbar                      16         26
brukbare                     16         22
bruksområde                 26         63
brun                         24        106
brundtland                   16        134
bruner                       19        145
brutale                      26         54
brutalt                      26         50
bry                          62        148
brydde                       25         43
bryr                         80        191
brystet                      23         68
bryta                        34         93
brå                         34         71
bråk                        22         45
bråten                      42        300
brått                       72        158
brød                        34        137
brør                        18         42
brørne                      22        137
bu                          153        704
buande                       25         74
budd                         83        286
budde                       205        729
budsjett                     39        135
budsjettet                   20         66
budskap                      16         38
bugge                        16         74
bukt                         25         49
bunde                        46        117
bunden                       79        195
bundne                       50         99
burt                         19        131
busetje                      16        222
busetjing                    17        209
busetnad                     21         57
busett                       51        169
busette                      42        143
buskerud                     23        107
bussen                       24         66
bustad                       94        293
bustadar                     18         67
bustaden                     23        114
bustader                     21         71
butikkar                     15         38
byane                        85        227
byar                         72        176
bydel                        22        124
bydelen                      21        136
bygda                        74        507
bygdene                      31        117
bygder                       25        111
byggast                      20         38
bygging                      52        136
bygginga                     28         79
byggja                       67        210
byggjast                     29         56
byggje                      190        471
byggjer                     368        857
bygning                      15         26
bygningar                    25         53
bygt                         37        111
byrde                        17         38
byrja                       470       1256
byrjande                     21         52
byrjar                      260        682
byrje                        94        216
byrjing                      34         78
byrjinga                    376        915
byråkrati                   18         53
byråkratiet                 19         65
byråkratisk                 18         58
byråkratiske                28         83
byta                         18         38
byter                        19         32
båe                        164        692
bånd                        16         36
bås                         16         32
bær                         18         52
bære                        31         79
bærekraftig                 22        137
