starting time: 24.38
Read 347 files
reduced frequency method
number of words in files: 12848612
removing most frequent words
removing numbers
removing english words
removing words with a relative frequency below:  15
--- 8912.098001 seconds ---

word                    r_freq      f_freq
opplæringen                 16         38
opplæringslova              53        237
oppløysing                  57        146
oppløysinga                 33         82
oppløyst                    44         90
oppmerksom                   17         30
oppmerksomhet                23         37
oppmoda                      65        206
oppmodar                     27         75
oppmoding                    45        122
oppmodinga                   20         43
oppmodingar                  16         65
oppmuntra                    24         48
oppmuntrande                 32         56
oppmuntrar                   25         46
oppmuntre                    19         36
oppmuntring                  54        104
oppnåast                    17         37
opposisjon                  110        348
opposisjonelle               22        108
opposisjonen                 57        405
oppover                     104        270
oppramsing                   16         28
opprettar                    17         31
opprettast                   26         50
oppretthalda                 31         91
oppretthaldast               17         31
oppretthalde                174        469
oppretthalding               19         46
oppretthaldt                 15         37
opprettheld                  30         59
oppretting                   42        106
opprettinga                  79        277
oppriktig                    25         68
opprinneleg                  25         51
opprinnelege                 32         74
opprør                      56        180
opprøret                    23         70
oppseding                    23         57
oppsett                      28         68
oppsettet                    15         42
oppsikt                      16         31
oppsiktsvekkande             29         66
oppskrift                    36        127
oppskrifta                   18         39
oppskrifter                  21         73
oppslag                      27        144
oppslaga                     15         79
oppslagsverk                 20         39
oppslutnad                   35        118
oppslutning                  37        136
oppstart                     30         87
oppstarten                   37         96
oppsummerande                43        110
oppsummerar                  24         62
oppsummerast                 25         46
oppsummere                   56        110
oppsummerer                  53        105
oppsummering                452       1053
oppsummeringa                32         69
oppsummert                   83        183
oppsummerte                  27         59
oppsving                     17         35
oppsyn                       21         43
oppsøke                     34         73
oppsøker                    26         55
oppsøkt                     32        257
oppsøkte                    28         52
opptak                       82        262
opptaka                      31         92
opptaket                     36        125
opptek                       15         29
oppteke                      19         47
oppteken                    329        904
opptekne                    257        706
opptil                       59        121
opptok                       17         33
opptre                      118        275
opptreden                    25         53
opptrer                     180        447
oppunder                     16         29
oppvaksen                    20         41
oppvarming                   19         59
oppvekst                     54        149
oppveksten                   48        120
oppå                        31         79
opp”                       29         51
optimale                     37         90
optimalt                     44         90
optimisme                    21         49
optimistisk                  32         62
optimistiske                 18         53
ordbok                       57        280
ordboka                      22        260
ordbruk                      16         32
ordbruken                    19         35
orde                         92        273
ordelag                      31         55
orden                       218        507
ordenen                      16         43
ordens                       17         32
ordentleg                    36         78
ordentlig                    28         43
ordforråd                   29        117
ordforrådet                 18         54
ordinær                     42        119
ordinære                    82        290
ordinært                    18         55
ordlyd                       23         51
ordlyden                     72        359
ordna                       108        228
ordnar                       20         32
ordne                        48         93
ordning                      84        263
ordninga                    112        405
ordningane                   23         63
ordningar                    49        124
ordre                        37        121
ordrett                      33         59
ordskifte                    52        495
ordskiftet                   42        298
ordval                       21         40
organa                       42        114
organet                      34        132
organisasjonane             110        703
organisasjonar              319       1604
organisasjonsstruktur         16         82
organisasjonsstrukturen         15         57
organisation                 18         36
organisatorisk               43        152
organisatoriske              71        275
organisera                   41        126
organiserast                 34         73
organisere                  105        240
organiserer                  58        110
organisering                254        645
organiseringa               145        374
organisert                  304        743
organiserte                 133        418
organisk                     38        104
organiske                    33         90
orientere                    49        109
orienterer                   23         46
orientering                 106        284
orienteringa                 30         62
orientert                   108        276
orienterte                   58        135
originale                    60        203
originalen                   25         70
originalt                    19         66
orka                         15         30
orkar                        15         30
orkester                     15         61
ortodokse                    21        110
ortografisk                  16         59
os                           66        328
osb                          97        292
oslo                       1882       9465
oss”                       20         38
ot                           27        142
otprp                        36        320
otta                         22        120
ottar                        54        226
otto                         59        205
ovanfor                     611       1626
ovanfrå                     32        105
ove                          33         93
ovenfor                      18         33
overalt                      69        141
overbevisande                18         33
overbevist                   26         43
overblikk                    38         82
overdriven                   30         44
overeins                     96        231
overens                      16         33
overflata                    85        317
overflate                    22         97
overflatisk                  40         66
overflatiske                 19         33
overflod                     15         32
overflødig                  34         58
overføra                    16         48
overførast                  76        174
overføre                    70        170
overfører                   30         52
overføring                  89        263
overføringa                 36        140
overføringar                20         57
overføringsverdi            32         71
overført                   147        298
overførte                   29         59
overgang                    106        267
overgangane                  21         48
overgangar                   51        126
overgangen                  200        641
overgrep                     53        182
overgår                     15         27
overhalde                    18         84
overhodet                    18         25
overkant                     47         86
overlappande                 46        119
overlappar                   40         83
overlate                     42         75
overlegen                    27         60
overlegne                    16         26
overlet                      19         40
overleva                     19         60
overlevd                     20         43
overlevde                    20         42
overleve                     52        115
overlever                    21         36
overlevert                   32         67
overleverte                  15         28
overleving                   24         44
overordna                   525       1256
overraska                    73        129
overraskande                176        375
overraskende                 15         26
overrasking                  26         45
overs                        30         74
oversatt                     25         70
overser                      30         55
oversetjast                  15         28
oversetjing                  26        111
oversett                     63        122
oversette                    15         22
oversikt                    486       1186
oversikta                    37         66
oversiktleg                  49        102
oversjå                     40         77
overskot                     41         98
overskrid                    17         33
overskride                   30         60
overskrift                   30        113
overskrifta                  70        215
overskriftene                17         42
overskrifter                 30         74
overstig                     17         29
oversyn                      78        207
overta                       42         96
overtale                     16         45
overtek                      15         29
overtok                      65        149
overtydande                  31         64
overtydd                     27         67
overtydde                    16         31
overtyde                     22         52
overtyding                   50        124
overvaka                     20         55
overvake                     15         30
overvaking                   32         89
overvekt                     46         94
overveldande                 32         65
overvinne                    23         41
over”                      15         22
oxford                      217        795
paa                         266       3354
pakistan                     17         40
pakka                        26         47
pakke                        43        379
pakt                         19         55
palestina                    24        275
palestinske                  23        605
palgrave                     23         53
panna                        15         27
papir                        70        160
papiret                      33         56
pappa                        64        178
paradigme                    37        115
paradigmeskifte              15         38
paradigmet                   28        120
paradis                      22        106
paradoks                     70        161
paradoksale                  23         71
paradoksalt                  58        110
paradokset                   37         85
paragraf                     40        121
paragrafen                   24         85
parallell                   102        242
parallellane                 15         31
parallellar                 114        300
parallelle                   56        134
parallellen                  24         47
parallellt                   15         29
parallelt                   133        288
parentes                     41         93
paris                        73        265
parlamentariske              21         62
parlamentet                  30        164
partane                     180        809
partar                      136        352
partipolitiske               15         74
partnar                      16         40
partnarar                    20         56
pasientane                   43        612
pasientar                    68        695
passande                    108        286
passar                      303        629
passasjar                    15         38
passasje                     17         36
passasjen                    18         40
passere                      19         42
passerer                     18         46
passert                      16         31
passiv                      101        253
passivitet                   18         47
passivt                      32         80
paul                        158        401
pausar                       45         98
pax                         105        299
pc                           54        318
pcen                         17        109
pe                           29        181
pearson                      23         73
pedagog                      33        123
pedagogar                    25        120
pedagogen                    24        118
pedagogikk                   78        234
pedagogikken                 28         70
pedagogisk                  182        724
pedagogiske                 140        590
peder                        51        272
pedersen                     66        246
peika                       304        737
peikar                      701       1873
peike                       177        453
peikepinn                    50         96
peiker                      142        582
peikt                        51        182
peikte                       32        118
peker                        17         37
pengane                      65        224
pengar                      255        752
pensum                       24         58
perfekt                      58        102
perfekte                     25         52
perifer                      18         34
perifere                     23         45
periodane                    42        146
periodar                    142        361
permanente                   24         60
permisjon                    16         51
persepsjon                   34        129
persepsjonen                 18         60
personale                    32         87
personalet                   46        213
personane                   212        495
personar                   1006       2603
personell                    31         92
personens                    16         33
personleg                   455       1061
personlegdom                 56        156
personlegdomen               30         55
personlege                  468       1189
personlighet                 15         29
personnamn                   15        117
personopplysningar           18         57
personvern                   27         78
personvernombudet            26         57
perspektiv                  965       2540
perspektiva                  88        253
perspektiver                 49        113
perspektivet                340       1081
persson                      18        283
petersen                     21         73
petter                       85        430
pettersen                    29        121
philadelphia                 23         54
philip                       40         85
phillips                     24        120
piaget                       22         83
pierre                       44        136
pil                          17         39
pisa                         26         87
pkt                          29        299
pl                           19        120
plaga                        24         62
plage                        24         44
plager                       25         88
plakatar                     17         44
plakaten                     16         47
planane                      85        250
planlagd                     16         32
planlagde                    43        121
planlegging                 130        328
planlegginga                 41        112
planleggje                   19         38
plante                       19         42
plar                         27         80
plassane                     28         61
plassar                      72        186
plassera                     30        102
plasserar                    28         79
plasserast                   64        133
plassering                  139        397
plasseringa                  72        184
plata                        19        124
platon                       27         92
plattform                    57        142
plattforma                   21        108
pleie                        32        110
pleier                       45        106
plikt                       124        345
plikta                       42        119
pliktar                      23         66
pliktene                     26         53
plikter                      73        207
plukka                       81        178
plukkar                      25         56
plukke                       47         78
pluralisme                   20        146
pluralistisk                 16         36
pluss                        78        262
plutseleg                    78        178
po                           28        329
poengterar                   16         46
poengtere                    21         43
poengterer                   62        148
poengtert                    33         73
poengterte                   17         30
poesi                        21        151
poetisk                      26         64
poetiske                     23         79
polarisering                 17         37
polen                        38        190
politikar                    28         73
politikarane                 59        277
politikarar                 104        343
polske                       18        297
popularitet                  34         68
populariteten                18         34
populasjon                   32         74
populasjonen                 51        168
populærmusikk               17         83
portrett                     24         65
posisjon                    561       1705
posisjonane                  49        158
posisjonar                  126        358
posisjonen                  159        421
posisjonering                29         76
posisjonert                  15         29
positivistisk                18         42
postmoderne                  34        154
potensial                    56        149
potensiale                   94        230
potensialet                  77        187
potensiell                   66        151
potensielle                 135        314
potensielt                  143        325
pp                           45        251
ppt                          36        377
pragmatisk                   59        159
pragmatiske                  41        185
praksisane                   25        128
praksisar                    90        389
praksisfellesskap            18        106
praksisfeltet                18         51
praktiserast                 17         27
praktisere                   29         55
praktiserer                  27         85
praktisering                 21        130
praktisert                   51        135
praktiserte                  28         60
prat                         41         84
prata                        50        174
pratar                       54        314
preferansane                 18         52
preferansar                  72        205
preferanse                   19         34
preg                        294        612
prega                       892       1960
pregar                      123        283
prege                        55        125
preget                       47         94
premiss                     102        238
premissa                     28         67
premissane                   46        115
premissar                    55        126
premissen                    17         35
premisser                    15         30
prenta                       21        161
presens                      28        135
presentasjon                326        875
presentasjonar               28         68
presentasjonen              137        381
presentera                   63        240
presenterar                  46        164
presenterast                 49         99
presis                       56        101
presise                      62        115
presiserar                   15         38
presiserast                  23         44
presisere                    62        144
presiserer                   63        160
presisering                  34         70
presiseringar                21         42
presisert                    82        171
presiserte                   34         65
presisjon                    30         54
presist                      71        141
pressa                      158        541
pressar                      19         38
presse                       90        238
pressemelding                22         95
presset                      63        134
prest                        49        353
prestane                     32        284
prestar                      31        247
prestasjon                   25         77
prestasjonane                17         45
prestasjonar                 51        178
prestegjeld                  17         89
presten                      60        382
prestere                     18         34
presterer                    24         55
prestgarn                    21        651
prestisje                    36        115
primitiv                     15         33
primitivt                    17         26
primær                      44         96
primære                    118        275
primært                    152        334
princeton                    31        130
prinsipiell                  31         95
prinsipielle                 47        153
prinsipielt                  68        175
prinsipp                    352        912
prinsippa                   121        366
prinsipper                   29         53
prinsippet                  320        847
prioriterast                 25         54
prioritere                   69        177
prioriterer                  48        117
prioritering                 56        196
prioriteringa                17         41
prioriteringane              19         47
prioriteringar               61        201
prioritert                  105        282
prioriterte                  48        155
prioritet                    37        102
prisane                      21         64
prisar                       34         75
privatliv                    25         69
privatpersonar               18         48
privilegert                  19         36
privilegium                  25         68
problematikk                 26         54
problematikken              106        247
problematisere               40         92
problematiserer              56        132
problematisering             18         35
problematisert               53        101
problematisk                328        692
problematiske               112        221
problemløysing              35         86
problemområde               20         37
problemstilling             414       1006
problemstillinga            600       1654
problemstillingane          123        348
problemstillingar           232        512
problemstillinger            20         35
produktiv                    26         73
produktive                   29         73
produktivitet                17         56
produsent                    31        230
produsentane                 18        129
produsentar                  32        202
produsenten                  29        194
produsera                    37        109
produserar                   22         43
profesjon                    20         95
profesjonalitet              15         53
profesjonar                  15         49
profesjonell                 85        418
profesjonelle               114        438
profesjonelt                 36         83
profitt                      17         71
programvare                  25        254
progresjon                   46        105
progresjonen                 19         50
progressiv                   17         33
proksimale                   15         44
pronomen                     39        248
pronomenet                   24        116
proporsjonalt                25         49
proposisjonen                15         70
prosedyrane                  17         44
prosedyrar                   46        114
prosedyre                    42        102
prosedyren                   26         80
prosentdel                   25         75
prosentvis                   31        102
prosessane                  161        457
prosessar                   323        954
prosessering                 17         58
prosessuelle                 22         71
prostitusjon                 16        112
protestane                   15         46
protestantiske               18         68
protestar                    32         76
protestere                   16         40
protesterer                  17         33
protesterte                  21         51
protokoll                    20        100
protokollen                  21        118
prov                         79        186
prova                        23         48
provoserande                 23         56
provosere                    17         27
prøvar                      77        279
prøvast                     17         32
prøveintervju               30         87
prøveintervjuet             17         59
prøving                     33        136
ps                           21         82
psykiatriske                 15         44
psykisk                     112        522
psykiske                    114        449
psykolog                     30         70
psykologar                   16         48
psykologi                    84        191
psykologien                  22         53
psykologisk                 121        359
psykologiske                 89        234
psykososial                  15         45
psykososiale                 30        185
pt                           16        154
publikasjon                  19         40
publikasjonane               16         62
publikasjonar                42        105
publisering                  24         51
puls                         15         46
punktum                      48        248
pust                         27        107
puste                        16         35
pusten                       15         57
pynta                        17         41
pÅ                          55        132
påbod                       30         54
pådrivar                    26         72
påfallande                  81        202
påfølgande                 22         41
påfølgjande                67        168
påføre                     22         58
påfører                    15         28
påført                     41        110
pågåande                   69        137
pågår                      24         49
påkjenning                  16         31
påkjenningar                19         45
pål                         47        194
pålagde                     21         41
pålagt                      53        103
pålegg                      45        111
pålegge                     21         49
påliteleg                   66        140
pålitelege                  39         83
pålitelegheit               19         41
påminning                   32         59
påpeika                    135        371
påpeikar                   206        684
påpeikast                   15         26
påpeike                     60        140
påpeiker                    50        188
påpeikt                     39        107
påpeikte                    22         68
pårørande                  24        143
påstand                    157        364
påstandane                  64        186
påstandar                   78        235
påstanden                  185        637
påstå                      81        204
påstår                     52        111
påstått                    28         62
påståtte                   16         29
påverka                    681       1569
påverkar                   507       1330
påverke                    463       1266
påverking                   22         57
påverknad                  265        665
påverknaden                 63        135
påverknader                 16         27
påverknadskraft             32         72
påvirkning                  20         34
påvisa                      16         31
påvise                      43        106
påvist                      77        525
påviste                     17         50
på»                        16         35
på”                       45         91
ra                          100       1207
rad                          64        166
radikal                      70        490
radikale                     68        198
radikalt                     50        104
radioen                      19         61
ragnar                       40        129
ragnhild                     47        217
ragnvald                     17         44
ramma                       177        470
rammar                       41         86
ramme                       173        419
rammene                     251        611
rammeverk                   121        331
rammeverket                 100        285
rammevilkår                 23         70
randi                        22         50
rangere                      17         43
rangering                    17         53
rangert                      21         51
rapportane                   35        103
rapportar                    85        203
rapportere                   33         81
rapporterer                  52        136
rapportering                 42         98
rapporteringa                19         30
rapportert                   58        189
rapporterte                  63        173
rasa                         15         31
rase                         29         73
rasisme                      21         66
rasjonalitet                 43        169
rasjonell                    63        220
rasjonelle                   77        223
rasjonelt                    46         96
raskare                      91        189
rasmussen                    31        153
raud                         65        175
raude                        59        169
raudt                        28         82
reagera                      15         38
reagerar                     23         40
reagere                      69        191
reagerer                    102        276
reagert                      28         53
reagerte                     71        200
reaksjon                    187        423
reaksjonane                  64        156
reaksjonar                  182        466
reaksjonen                   60        147
realisera                    17         49
realiserast                  22         47
realisere                    73        205
realiserer                   24         45
realisering                  34         81
realiseringa                 17         65
realisert                    61        161
realiserte                   18         30
realisme                     37        176
realismen                    20         64
realistisk                  113        278
realistiske                  64        170
realitet                     58        116
realitetane                  19         38
realitetar                   17         29
realiteten                  106        229
redaksjonelle                17         71
redaksjonen                  26        138
redaktør                    59        257
redaktøren                  25        105
rede                         21         31
redigert                     54        203
redsel                       25         69
redskap                      15         35
redsle                       20         43
reduksjon                    73        259
reduksjonen                  18         50
redusera                     36        111
reduserast                   38         85
reell                       136        313
reelle                      182        460
reelt                       105        241
referansane                  37        113
referansar                  157        355
referanse                   116        307
referansen                   39         87
referanseramme               30         63
referanserammer              18         30
referat                      54        160
referer                      32         74
referera                     25         58
refererar                    41        113
referere                     69        145
refererer                   244        557
referert                    249        684
refererte                    60        123
refleksjon                  193        611
refleksjonane                37         83
refleksjonar                179        508
refleksjonen                 31         84
reflektera                   29         98
reflekterande                29         70
reflekterar                  33         72
reflektere                  142        373
reflekterer                 140        324
reflektert                  104        237
reflekterte                  53        115
reforma                      45        357
reformasjonen                23        179
reformene                    16         52
regelmessig                  51        105
regelmessige                 17         34
regelverk                    50        180
regelverket                  62        231
regi                         95        225
regimet                      64        440
regionale                   105        490
regionalt                    47        187
regionane                    28        122
regionar                     45        143
regionen                     96        570
registeret                   20         42
registrera                   22         56
registrering                 39         96
registreringa                16         33
regjeringar                  22         53
regjeringens                 19         55
reglane                     230        892
reglar                      412       1127
regulere                     68        220
regulerer                    55        162
regulering                   97        427
reguleringa                  25         84
reguleringane                15         49
reguleringar                 42        146
regulert                     91        253
regulerte                    31         68
rehabilitering               24        143
reidar                       16         49
reie                         25         78
reindyrka                    28         54
reine                       188        406
reinsing                     18        136
reint                       404        862
reisande                     28        323
reiskap                     169        430
reiskapane                   15         38
reiskapar                    49        140
reiskapen                    27         58
reitzels                     27         54
rekkefølge                  17         30
rekkefølgja                 28         56
rekkefølgje                 40         88
rekkevidda                   20         39
rekkevidde                   24         51
rekkja                       31         84
rekkje                      380       1032
rekkjefølgja                18         28
rekkjefølgje                26         49
rekkjer                      28         64
reklame                      47        257
rekna                       750       1792
reknar                      286        697
reknast                     193        503
rekne                       222        630
rekneskap                    24        104
rekning                      28         56
rekonstruere                 33         55
rekonstruksjon               22         44
rekruttere                   23         45
rekruttering                 44        105
rekrutteringa                19         35
rekruttert                   18         50
rektor                       57        402
rektorane                    16         86
rektorar                     17         48
relasjon                    281        804
relasjonane                 130        398
relasjonar                  387       1321
relasjonell                  19         51
relasjonelle                 36        118
relasjonelt                  20         42
relasjonen                  226        806
relasjoner                   24         53
relatera                     15         37
relaterast                   32         65
relatere                     36         86
relaterer                    44        106
relatert                    129        321
relaterte                    50        109
relevans                    166        358
relevansen                   34         66
relevante                   385        969
reliabilitet                137        538
reliabiliteten               59        183
religionar                   26        117
religionen                   47        236
religiøs                    84        368
religiøse                  182        991
religiøst                   56        232
renessansen                  16         36
renn                         21         56
reparere                     20         40
repertoar                    44        138
repertoaret                  23        191
repeterande                  15         32
repetere                     18         50
repetert                     32         69
repetisjon                   42        158
repetisjonar                 15         62
replikk                      19         42
replikkar                    18         42
reportasjar                  15         62
representant                142        392
representantane              59        231
representantar              225        694
representanten               27         66
representasjon              135        414
representasjonar             49        266
representasjonen             36        117
representativ                49         95
representativitet            16         26
representativt               98        196
representera                 39        120
representerar                66        232
reproduksjon                 29         67
reprodusere                  21         44
reprodusert                  15         28
reprosentralen               41         64
republikk                    17        100
republikken                  22        159
reservert                    23         36
reserverte                   17         27
resolusjon                   26        103
resonnement                  36         83
resonnementet                22         53
resonnerer                   15         23
respekt                     215        619
respekten                    31         60
respektere                   21         42
respekterer                  20         43
respektert                   28         61
respekterte                  15         28
respektive                   68        158
respondentane                67        765
respondentar                 35        197
respondenten                 26        154
respondere                   19         62
responderer                  29         93
responderte                  17         44
respons                     159        486
responsar                    21         55
responsen                    47        186
ressursane                  141        389
ressursar                   376       1082
ressursbruk                  18         30
ressurssterke                28         48
restar                       27        115
resterande                   91        197
restriksjonane               18         38
restriksjonar                57        203
resulterar                   15         27
resultere                    46         94
resulterer                   60        120
resultert                    39         75
resulterte                   97        203
retning                     629       1303
retninga                    165        370
retningane                   55        127
retningar                   147        307
retningsgjevande             20         48
retningslinene               23         46
retningsliner                55        130
retningslinjene              45        139
retningslinjer              134        380
retorikk                     76        256
retorikken                   46        221
retorisk                     54        377
retoriske                    86        893
rettane                      82        329
rettar                      454       1304
rettare                      40         70
rettast                      44         85
rettesnor                    23         50
rettferd                     73        188
rettferdig                   73        188
rettferdige                  19         51
rettferdiggjere              25         62
rettleia                     36        394
rettleiande                  17         29
rettleiar                   122        264
rettleiaren                  76        272
rettleie                     23         53
rettleiing                  182        628
rettleiinga                  28        178
rettmessige                  16         37
rettskjelder                 15         63
rettskriving                 22        133
rettsleg                     45        239
rettslege                    54        331
rettspraksis                 27        238
rettssak                     23         54
rettssaka                    16         64
rettssystemet                21         73
rettstryggleik               17         84
rettvis                      15         33
retur                        26         61
returnere                    18         40
revidert                     48         87
reviderte                    23         51
revisjon                     36         97
revolusjon                   38        147
revolusjonen                 50        159
revolusjonær                18         94
revolusjonære               18        195
revurdering                  16         31
rg                           26        233
ri                           23         59
richard                      78        232
rigide                       15         28
rikare                       51         92
rikaste                      17         29
rikdom                       31         59
rikeleg                      26         71
riket                        33        160
riksarkivet                  17        116
riktignok                    24         57
rimeleg                     273        732
rimelege                     26         51
ringe                        49         98
ringen                       26        112
ringte                       21         46
ringverknader                15         26
ris                          22         84
risikere                     50         95
risikerer                    50         93
risikofaktorar               22        140
ritualet                     17         80
rituelle                     17         43
rm                           18         44
rn                           18        195
ro                          171        428
roa                          25         52
robert                      127        381
robuste                      17         25
rogaland                     24        125
roger                        23         65
rogers                       25        117
roland                       39        265
roleg                        57        140
rolege                       24         51
rolf                         39        105
rolig                        23         39
rollar                       17         49
rollemodellar                16         32
rollespel                    16         46
roma                         34        110
